4653,4897,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje dr. Mateja T. Vatovca v zvezi z onesnaženostjo na območju Ilirske Bistrice.),21. redna seja,,,,,,,,,,,,,,,,
4654,4898,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje Violete Tomić v zvezi z odškodninami za premoženjsko vojno škodo.),21. redna seja,,,,,,,,,,,,,,,,
4655,4899,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Matjaža Hanžka v zvezi z onesnaženostjo celjske kotline.),21. redna seja,,,,,,,,,,,,,,,,
4656,4900,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Matjaža Hanžka v zvezi s 3. razvojno osjo na odseku Velenje – AC1.),21. redna seja,,,,,,,,,,,,,,,,
4657,4901,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Mihe Kordiša v zvezi z dvigom socialne pomoči in varstvenega dodatka.)|,21. redna seja,,,,,,,,,,,,,,
4658,4902,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Zvonka Laha v zvezi z novo prostorsko in gradbeno zakonodajo.),21. redna seja,,,,,,,,,,,,,,,,
4659,4903,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Franca Breznika v zvezi s problematiko zlorab sredstev iz rezervnega sklada večstanovanjskih stavb.),21. redna seja,,,,,,,,,,,,,,,,
4660,4904,Predlog sklepa (razprava o odgovoru ministrice za obrambo Andreje Katič na poslansko vprašanje Violete Tomić v zvezi z udeležbo pripadnikov Slovenke vojske na obredih Rimskokatoliške cerkve.),21. redna seja,,,,,,,,,,,,,,,,
4661,4905,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje mag. Branka Grimsa v zvezi z varnostjo schengenske meje v luči nedavnih tragičnih dogodkov.),21. redna seja,,,,,,,,,,,,,,,,
4662,4906,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje dr. Franca Trčka v zvezi z aktivno politiko zaposlovanja v Mariboru z okolico.)|,21. redna seja,,,,,,,,,,,,,,
4663,4907,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje dr. Mateja T. Vatovca v zvezi s privatizacijo upravljanja pristaniške in železniške infrastrukture.),21. redna seja,,,,,,,,,,,,,,,,
